id,anunciante,titulo,municipio,zona,precio_eur,precio_anterior_eur,descuento_pct,superficie_m2,tipo_suelo,referencia_catastral,notas
994,,"Terreno en Ribamontán al Mar",Ribamontán al Mar,Castanedo,150000,4804,"No urbanizable",,
995,,"Terreno en Santa María de Cayón",Santa María de Cayón,La Penilla,33000,834,"No urbanizable",,
996,,"Terreno en Ribamontán al Monte",Ribamontán al Monte,La Llanía,100000,47142,"No urbanizable",,
997,,"Terreno en Reocín",Reocín,Helguera/Valles,12750,4350,"No urbanizable",,
998,,"Terreno en Entrambasaguas",Entrambasaguas,Navajeda,50000,3000,"No urbanizable",,
999,,"Terreno en Los Corrales de Buelna",Los Corrales de Buelna,Collado de Cieza,60000,447,"Urbano (solar)",,
1000,,"Terreno en Villaescusa",Villaescusa,Riosapero,185000,83200,"Urbano (solar)",,"Parte rústico"
1001,,"Terreno en San Felices de Buelna",San Felices de Buelna,Sovilla,100000,1500,"Urbano (solar)",,
1002,,"Terreno en Carriazo, Ribamontán al Mar",Ribamontán al Mar,Carriazo,160000,2363,Urbanizable,,
1003,,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,Cóbreces,115000,2360,"No urbanizable",,
1004,,"Terreno en Ribamontán al Monte",Ribamontán al Monte,La Pelia,170000,4991,Urbanizable,,
1005,,"Terreno en Santa María de Cayón",Santa María de Cayón,Abadilla,150000,41141,"No urbanizable",,
1006,,"Terreno en Marina de Cudeyo",Marina de Cudeyo,,40000,8140,"No urbanizable",,
1007,,"Terreno en Reocín",Reocín,Barcenaciones,35000,850,"No urbanizable",,
1008,,"Terreno en Santa María de Cayón",Santa María de Cayón,,60000,1400,"Urbano (solar)",,
1009,,"Terreno en Bareyo",Bareyo,,119000,2848,"Urbano (solar)",,
1010,,"Terreno en Torrelavega",Torrelavega,Barreda,70000,2214,"Urbano (solar)",,
1011,,"Terreno en Santa María de Cayón",Santa María de Cayón,,110000,4400,"Urbano (solar)",,
1012,,"Terreno en Comillas",Comillas,,460000,3600,"Urbano (solar)",,
1013,Activa Norte Gestión Inmobiliaria,"Terreno en Barrio Caranceja, Reocín",Reocín,Caranceja,65000,1298,"Urbano (solar)",,
1014,,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,,90000,867,"Urbano (solar)",,
1015,,"Terreno en Ribamontán al Monte",Ribamontán al Monte,Hoz de Anero,35000,10436,"No urbanizable",,
1016,Activa Norte Gestión Inmobiliaria,"Terreno en Vía, Reocín",Reocín,Helguera,65000,1501,"Urbano (solar)",,
1017,,"Terreno en Bareyo",Bareyo,,60000,19629,"No urbanizable",,
1018,,"Terreno en Marina de Cudeyo",Marina de Cudeyo,,2300,854,"No urbanizable",,"Proindiviso 24,13%"
1019,,"Terreno en Castañeda",Castañeda,La Cueva,140000,3039,,
1020,,"Terreno en Penagos",Penagos,,94000,7979,Urbanizable,,
1021,,"Terreno en Penagos",Penagos,,99000,2249,Urbanizable,,
1022,Maria Quintana,"Terreno en Cabezón de la Sal",Cabezón de la Sal,Los Llanos,11000,2184,"No urbanizable",,
1023,,"Terreno en Cabezón de la Sal",Cabezón de la Sal,San Roque,50000,2400,"No urbanizable",,
1024,,"Terreno en Alfoz de Lloredo",Alfoz de Lloredo,Caborredondo,250000,3615,"Urbano (solar)",,
1025,,"Terreno en Marina de Cudeyo",Marina de Cudeyo,Elechas,15000,2500,"No urbanizable",,
1026,,"Terreno en San Felices de Buelna",San Felices de Buelna,Sovilla,149500,5743,"Urbano (solar)",,
1027,,"Terreno en San Felices de Buelna",San Felices de Buelna,Rivero,23000,351,"Urbano (solar)",,
1028,,"Terreno en Medio Cudeyo",Medio Cudeyo,Ceceñas,10350,4050,"No urbanizable",,"Proindiviso"
1029,cadacasa,"Terreno en Udías",Udías,,34000,235,Urbanizable,,
1030,,"Terreno en Barrio la Veguilla, 7, Puente San Miguel",Reocín,Puente San Miguel,97000,,,2743,"Urbano (solar)",,"Parcela R4-2 Area 8; edificabilidad 4966 m2"
1031,Activa Norte Gestión Inmobiliaria,"Terreno en Diseminado Casar, Cabezón de la Sal",Cabezón de la Sal,Casar,18000,,,3727,"No urbanizable",,
1032,Activa Norte Gestión Inmobiliaria,"Terreno en Calle Jose Luis Laguillo, Mazcuerras",Mazcuerras,,56000,,,44888,"No urbanizable",,"Tres fincas"
1033,Activa Norte Gestión Inmobiliaria,"Terreno en Lugar Barrio Quijas, Reocín",Reocín,Quijas,12000,,,3590,"No urbanizable",,
1034,Bankcasas.com,"Terreno en Los Corrales de Buelna",Los Corrales de Buelna,,271600,,,26542,"No urbanizable",,
1035,,"Terreno en Barrio Rivero, San Felices de Buelna",San Felices de Buelna,Rivero,95000,100000,5,1050,"Urbano (solar)",,
1036,,"Terreno en Reocín",Reocín,Helguera,180000,,,2100,"Urbano (solar)",,
1037,,"Terreno en Barrio las Ventas, Cabezón de la Sal",Cabezón de la Sal,,600000,,,2091,"Urbano (solar)",,"35 viviendas"
1038,,"Terreno en Barrio Valles, Reocín",Reocín,Valles,40250,,,609,,,
1039,,"Terreno en Barrio Rivero, San Felices de Buelna",San Felices de Buelna,Rivero,2000,,,127,,,
1040,,"Terreno en Santa Maria de Cayon",Santa María de Cayón,,55000,59000,7,2200,,,
1041,,"Terreno en Camino Vial, 27, Hoznayo",Entrambasaguas,Hoznayo,80000,,,4481,"No urbanizable",,
1042,,"Terreno en Via Sin Nombre, s/n, Puente Viesgo",Puente Viesgo,,15000,,,4000,"No urbanizable",,
1043,,"Terreno en Barrio Sierra, Ruiloba",Ruiloba,Sierra,150000,,,1500,Urbanizable,,
1044,,"Terreno en Barrio la Penilla, Santa Maria de Cayon",Santa María de Cayón,La Penilla,700000,,,4606,Urbanizable,,
1045,,"Terreno en Calle Villabáñez, 78 C, Castañeda",Castañeda,,50000,,,3900,"Urbano (solar)",2667010VN2926N0001AP,
1046,,"Terreno en Calle Argumosa, 10, Centro, Torrelavega",Torrelavega,Centro,210000,,,409,"Urbano (solar)",,
1047,,"Terreno en Barrio Villanueva, Ribamontán al Monte",Ribamontán al Monte,Villanueva,57000,60000,5,7100,Urbanizable,,
1048,Inmobiliaria Cobo Mantecón,"Terreno en Penagos",Penagos,,36000,,,8000,"No urbanizable",,
1049,Inmobiliaria Cobo Mantecón,"Terreno en Santa Maria de Cayon",Santa María de Cayón,,39000,,,15120,"No urbanizable",,
1050,,"Terreno en Calle Mijares, Cartes",Cartes,,160000,,,1083,"Urbano (solar)",,
1051,,"Terreno en Diseminado Lloreda, Santa Maria de Cayon",Santa María de Cayón,Lloreda,50000,,,1800,"No urbanizable",,
1052,,"Terreno en Barrio la Drea, Villapresente",Reocín,Villapresente,220000,,,1446,"Urbano (solar)",,
1053,,"Terreno en Paraje la Sierra, Cabezón de la Sal",Cabezón de la Sal,,26000,,,14365,"No urbanizable",,"Cabaña 90 m2"
1054,,"Terreno en CA-283, Cartes",Cartes,,45000,,,8880,"No urbanizable",,"Manantial"
1055,,"Terreno en Calle La Llamosa, Galizano",Ribamontán al Mar,Galizano,750000,,,10000,Urbanizable,,
1056,,"Terreno en Padierne, Entrambasaguas",Entrambasaguas,Padierne,130000,,,7740,Urbanizable,,
1057,,"Terreno en Lloreda diseminado, Santa Maria de Cayon",Santa María de Cayón,Lloreda,96000,,,10000,Urbanizable,,
1058,,"Terreno en Diseminado Sobarzo, Penagos",Penagos,Sobarzo,29000,,,2038,"No urbanizable",,
1059,,"Terreno en Barrio Virgen de la Peña, Cabezón de la Sal",Cabezón de la Sal,,594000,,,9237,"Urbano (solar)",,
1060,,"Terreno en Barrio San Ramón, Barreda, Torrelavega",Torrelavega,Barreda,175000,,,6000,Urbanizable,,"Nave ganadera"
1061,,"Terreno en Barrio el Picon, Puente San Miguel",Reocín,Puente San Miguel,100000,,,3500,Urbanizable,,
1062,,"Terreno en Reocín",Reocín,Helguera,167000,,,2400,"Urbano (solar)",,
1063,,"Terreno en Barrio Lloredo, Alfoz de Lloredo",Alfoz de Lloredo,Lloredo,22000,,,5000,"No urbanizable",,
1064,,"Terreno en Tempano, Santa Maria de Cayon",Santa María de Cayón,,30000,,,2600,"No urbanizable",,
1065,,"Terreno en Barrio la Sota, Ribamontán al Monte",Ribamontán al Monte,La Sota,180000,,,10000,Urbanizable,,
1066,,"Terreno en Barrio el Corro, Santa Maria de Cayon",Santa María de Cayón,,35000,,,2864,"No urbanizable",,
1067,,"Terreno en Barrio Rubayo-Arriba, Marina de Cudeyo",Marina de Cudeyo,Rubayo,90000,,,1800,Urbanizable,,
1068,,"Terreno en Calle Berracabras, Cabezón de la Sal",Cabezón de la Sal,,640000,,,5631,Urbanizable,,
1069,,"Terreno en Calle Limbo, Centro, Torrelavega",Torrelavega,Centro,400000,,,549,"Urbano (solar)",,
1070,,"Terreno en Barrio La Cotarra, Santa Maria de Cayon",Santa María de Cayón,La Cotarra,296000,,,40000,"No urbanizable",,"Casa a rehabilitar"
1071,,"Terreno en CA-142, Villaescusa",Villaescusa,,85000,,,6200,Urbanizable,,
1072,,"Terreno en Barrio Alto el Postillo, Marina de Cudeyo",Marina de Cudeyo,,250000,,,3994,"Urbano (solar)",,"Mixto"
1073,,"Terreno en N-634, Cabezón de la Sal",Cabezón de la Sal,,40000,,,2900,"No urbanizable",,
1074,,"Terreno en Barrio San Roque, Castañeda",Castañeda,,85000,,,4170,Urbanizable,,
1075,,"Terreno en Barrio Padierne, Entrambasaguas",Entrambasaguas,Padierne,100000,,,2100,"Urbano (solar)",,
1076,,"Terreno en Calle las Casucas, Cabezón de la Sal",Cabezón de la Sal,,420000,,,756,"Urbano (solar)",,
1077,,"Terreno en El Cobanchón, Castañeda",Castañeda,,107800,,,17028,"No urbanizable",,"Cabaña"
1078,,"Terreno en el cotero, Alfoz de Lloredo",Alfoz de Lloredo,,38000,,,2148,"No urbanizable",,
1079,,"Terreno en Herminio Fernández Caballero, Guarnizo",Astillero,Guarnizo,180000,,,1500,"Urbano (solar)",,
1080,,"Terreno en Calle Rotizas, Penagos",Penagos,,99000,,,1400,"Urbano (solar)",,

